TEXT,emoji,class
"Shenanigans w jodieduffield @ Los Angeles, California
",😜,2
"#happyjuly4th I am starting write my next global book. My topic is about #Millennial #Leaders…
",🇺🇸,0
"We clean up alright Celebrating a gorgeous day &amp; a gorgeous wedding with my family! #Detroit…
",😜,2
"Who knew Marge had it like that? Mad. # @ Bushwhick
",🇺🇸,0
"#canyon #arizona #usa @ Grand Canyon- Arizona
",🇺🇸,0
"Hope for the future @ New York, New York
",🇺🇸,0
"#Capitan @ Islands of Adventure
",🇺🇸,0
"We usually aren't this happy here @ Wissahickon High School
",😜,2
"Annual sister-sister trip photo! #nycadventures #nyc #sistertrip #christmas2018 #restore @user
",🎄,1
"Well that worked #niceclothes Catch me at inkwellcoffeehouse 2nite! @ Eatontown, New Jersey
",😜,2
"Estas Locas #artfidovideo #art #paint @ The Hamptons
",😜,2
"Anniversary shenanigans! I beat Josh's score on several games! #happyanniversarytous…
",😜,2
"God bless America #fucktrump @ The Trap
",🇺🇸,0
"Your vote, your voice ! #vote #vote2016 @ Southwest Regional Library
",🇺🇸,0
"Day 3 = dinner and a view @ Boca Del Mar, Florida
",😜,2
"My two favorite gnomes @ Middletown, Delaware
",😜,2
"Christmas in Atlanta 2017 @ Ok Cafe
",🎄,1
"The White House #labarrasylasestrellas @ Vashington, DC
",🇺🇸,0
"We saw the thing and protected our faces too. #Arboretum #UK…
",😜,2
"Where the wild things are! ...#blogger #thelondonlife #londonlifeblog #sotd #sky #blue…
",🇺🇸,0
"It’s the most wonderful time of the year! #christmasseason2017 @ San Gabriel, California
",🎄,1
"Going to cut the tree down with matching hats @ Livonia, Michigan
",🎄,1
"Superbness Wanted. #CindyCrawford #KateMoss #StephanieSeymour #Brooklyn #USA @ Brooklyn, New York
",🇺🇸,0
"Looks like this #beagle loves his wintery hats! #dogsofinstagram @ Denver, Colorado
",😜,2
"NO SCHOOL FOR TWO WEEKS I'm so fucking happy
",🎄,1
"Andrew will be serenading everyone at church for Christmas services @user @ 12Stone Church
",🎄,1
"FLEX ON YOUR RIGHT TO VOTE ""Nobody will ever deprive the American people of the right to…
",🇺🇸,0
"Make Basketball Great Again @ University of Kentucky
",🇺🇸,0
"Max creep-factor @ Rock City Eatery
",😜,2
"Setup my tree for #christmas2015 Going have to say got end it right…
",🎄,1
"Merry Christmas! Top from thegirlplace_ SAV10 = 10% offLips-Kylie cosmetics Mary jo…
",🎄,1
"#colonialarchitecture #portofmiami #bayside #miami #mdcmiami #florida #usa @ MDC Museum of Art…
",🇺🇸,0
"Thank You For Serving Our Country &amp; Protecting Our Feedoms!! #veteransday #redwhiteandblue…
",🇺🇸,0
"Ring Bearer by day...Crazy Braxton by night @ Arts Park
",😜,2
"It’s beginning to look a lot like Christmas!! #yes #love #loveit #gaycouple #sanantonio…
",🎄,1
"Looking for awesome light displays in #Puyallup to help get into the holiday spirit? Check out…
",🎄,1
"literally ... also, 9 days until the #ChevyMontage unveiling at SEMA. can you believe it?!? I…
",😜,2
"Merry Christmas from snowy Western New York!! #dogs #snow #dogstagram #labstagram #brrrr…
",🎄,1
"Frequency # @ Park City, Utah
",🎄,1
"Finally it's the weekend after coming back to work after vacation #flatironroom #frozenmoon…
",😜,2
"Please VOTE #presidentialelection2016 #iVoted2016 #HillaryClinton2016 #ClintonKaine2016…
",🇺🇸,0
"As much as I love this country I'm missing my girls at home @ Orlando, Florida
",🇺🇸,0
"Got to hang with my little bro @user and his wife love this dude, His drive and ambition…
",😜,2
"Finally got to HIT THE QUAD thanks for always vogueing/having mini dance parties w me for the…
",😜,2
"Longwood Gardens @ Longwood Gardens
",🎄,1
"Congratulations Sidnie &amp; Brandon! I'm so glad you guys found each other... again Sid, I'm glad…
",😜,2
"Merica @ Dickey-Stephens Park
",🇺🇸,0
"Sightseeing with friends is fun @ The White House
",🇺🇸,0
"“Dad!! Your wrecking my snow angel!!”Merry Christmas Eve! explorecanada canada…
",🎄,1
"Little different getting a Christmas when it’s in the 80’s #merrychristmas @ Santa's Farm
",🎄,1
"#lit to the max @ North Philadelphia
",😜,2
"What more can be said #Murcia @ Patriot (Worlds of Fun)
",🇺🇸,0
"Snap saw it first #seniorpics @ Portsmouth, Ohio
",😜,2
"@ Impulse Gay Social-Club
",😜,2
"@ Farmingdale, New Jersey
",😜,2
"I actually miss this uniform.. #usarmy @ San Francisco, California
",🇺🇸,0
"Today is a VERY important day and I have a special wish for you all... #iVoted @ City of…
",🇺🇸,0
"@ Old Town San Diego State Historic Park
",🇺🇸,0
"Monday ain't so bad @ La Jolla, California
",😜,2
"Because America is the Factory of Dreams: Factory of Dreams IPA from Eppig Brewing. Happy 4th …
",🇺🇸,0
"Don't forget to vote #vote2017 #itsyourright #instawoof #theadventuresofavanzoe @ Westerleigh,…
",🇺🇸,0
"thx for not being a grinch about date party @ Blacksburg, Virginia
",🎄,1
"Do it. Wear it. Work it. Appreciate it. Happy Election Day! @user
",🇺🇸,0
"double post because I'm feeling festive #happyfourthyall #backtobackworldchamps #merica…
",🇺🇸,0
"#motivacion #amor propio #metas en Herbal Lifestyle
",😜,2
"5 years ago today I was working for Step up Revolution still going strong in this dance life…
",😜,2
"Finally got a god picture of my glow in the dark vinyl wrapped interior @ Monmouth Junction,…
",😜,2
"Welcome to America! @ White House, Washington USA
",🇺🇸,0
"Putting in that holiday hustle ngl I missed her— too bad she chose…
",🎄,1
"America, get out there and do the dang thing! #Vote #election2016 …
",🇺🇸,0
"First selfie of the day at #cinderellascastle #magickingdom @user
",🇺🇸,0
"#EmbarrasingMoment HAPPY 19th birthday to my best friend! My ONLY blood sister! The one who…
",😜,2
"“Treat Monday like a band aid.... rip it off and get over with” Happy that M is as…
",😜,2
"Happy 4th of July #limpbizkit #fourthofjuly @ United States
",🇺🇸,0
"no purpose, not planned @ Turtle Run Golf Club
",🇺🇸,0
"From #miami At Radio @user Our #friend @user For #number7streetwear #lifestyle…
",🇺🇸,0
"Really-who doesn't enjoy some bouncing @ Western Branch Primary
",😜,2
"S looking for Lonely Boy #Brooklyn #newyork #USA #Saradila…
",🇺🇸,0
"Happy Birthday America #shackleysinsb #statestreet #santabarbara #california #july4th…
",🇺🇸,0
"USA let's go!! Festival season &amp; more @ United States
",🇺🇸,0
"Happy labor day. @ Jackie's American Grille
",🇺🇸,0
"Your future Supreme Overlords #bowdown @ The White House
",🇺🇸,0
"Trippy : andreafanelliphotography @ Acorn Street
",🇺🇸,0
"UA taking time to acknowledge those who lost their lives in 9/11 @ The University of Akron
",🇺🇸,0
"Enjoy the simple moments life is precious @ Stonecreek, Douglasville, Georgia
",😜,2
"Cozy sweaters &amp; Peppermint Hot Chocolate in a holiday mug. #christmas #relaxing #imsoexciting @user
",🎄,1
"What a tease! I’ll have my iPhone X case a couple weeks before my IPhone X. @ At the House.
",😜,2
".I went to christmas market, which was very gorgeous I took a lot of pic so I'll upload some…
",🎄,1
"Times Square, awesome winter day to visit the most famous landmark in the city #newyorkcity…
",🇺🇸,0
"Happy Christmas Eve got up early to glam up my May ‘18 bride for her engagement photo shoot…
",🎄,1
"Christmas stuff w/ @user // #christmasparty #Blitz #LA #sparkles #happyholidays @ The Wilshire
",🎄,1
"#laugh #love #minime #happy4th @ Grand Woods Lounge
",🇺🇸,0
"{Day 4} JOYOUS #HappyHolidays #ChristmasMagic #LightItUp…
",🎄,1
"Nia wishing you a Merry Christmas from Sterling. #wesellhomes #sterlingrealtors #ctrealestate…
",🎄,1
"World War 2 Memorial @ National World War II Memorial
",🇺🇸,0
"My ride or die Carpool buddy #funny #instagram #losangeles @ San Fernando Valley
",😜,2
"Get out and train and exercise your right and LIVE FREE __________Patriot AF [As Fuck]…
",🇺🇸,0
"Red, White &amp; Boozed @ Paint Lick Creek
",🇺🇸,0
"Happy Holidays from the Rockefeller Center and from the 4 happy ladies in the background @user
",🎄,1
"Good bye America ! #lax @ Los Angeles International Airport (LAX)
",🇺🇸,0
"When you play 'make me laugh' in da club sibling inspired! #shaleighdanceworks #ipromise @user
",😜,2
"Walked out my polling station like.... #govote #democracy #yourvotematters #knowtheballot…
",🇺🇸,0
"merry christmas from a very cold, but happy savanna @ Champaign, Illinois
",🎄,1
"City Views of San Francisco #帶爸媽去旅行 #travelwithparents…
",🇺🇸,0
"#Miami #LittleHavana @ Little Havana Art District
",🇺🇸,0
"Why only have perfect portraits when this is real life?#caritawestbrookphitography…
",😜,2
"Pretending to like each other @ Club Roma
",🎄,1
"Travel supplies for Vegas! (at @user in New York, NY)
",😜,2
"Super happy this arrived today! I may just brew some right meow greatfuckingcoffee @ Charlotte,…
",😜,2
"Things are better in America, heard the streets are gold there #NewYork @ New York, New York
",🇺🇸,0
"It'll be hard to say goodbye to this lil' that got me through the holidays while alone @ home.…
",🎄,1
"#christmas #yardart in #fredricksburgtx Wish there was room in the truck! @ Choo Choo Trolley…
",😜,2
"Opening of @user in San Francisco See your there on our booth 205 ! jaimehayon…
",🇺🇸,0
"Nerds and Geeks as far as the eye can see! #sdcc2017 @ San Diego Comic Convention
",😜,2
"Always my favorite tree @ Gaylord Opryland Resort &amp; Convention Center
",🎄,1
"My first USA plates ... It is my personal next GOAL!!!#germany #losangeles @ Los Angeles,…
",🇺🇸,0
"Thank you @ Millard, Omaha, Nebraska
",🇺🇸,0
"Arts &amp; craft……. @ All Stars Day Care and Preschool
",🎄,1
"(I got this off the internet) @ Postcard Inn on the Beach- St. Pete Beach, Florida
",🇺🇸,0
"Tonight's dinner @ Chicken Charlie's Frybq
",😜,2
"At least savannah attempted to wear a shade of blue #july4th @user
",🇺🇸,0
"Merry Christmas, ya filthy aliens @ Animal Kingdom Lodge
",🎄,1
"Merry Christmas! @ East Pasadena, California
",🎄,1
"Join us for Christmas Nights at the Rock tonight &amp; tomorrow night 4-10pm The kids will have…
",🎄,1
"Tryin out the new place in Lewes #brookeandginawerehere #mamalike…
",😜,2
"made it @ DIA- Denver International Airport
",🇺🇸,0
"Lindsey Wilson takes on Louisville. @ DuPont Mansion Historic Bed &amp; Breakfast
",😜,2
"Ay wow! Rice is dead! #usa2017 @ New Orleans, Louisiana
",🇺🇸,0
"Hey gorgeous! // #washingtondc #WHGarden #thewhitehouse #gardentour #lookinggood #igersdc…
",🇺🇸,0
"Haven't been here since Monday. #sorrynotsorry (@ MÜV Fitness in Columbia, SC)
",😜,2
"Just watching ""A Christmas Horror Story"" with Mako. :) @ Olde Town East, Columbus, Ohio
",🎄,1
"Not too bad for a Tuesday #merica #staycation #happypre4thofjuly…
",🇺🇸,0
"Some people will need standing desks tomorrow. (@ Folsom Street Fair 2017 in San Francisco, CA)
",😜,2
"Backlink profile analysis. This is simply an analysis of what websites link to your website.…
",😜,2
"Catch is at the con #comiccon #comiccon2017 #nycc #nycc2017 @ Javits Center
",😜,2
"Yesterday me and my bro @user for day one of edc #vegas #edc20…
",😜,2
"I like this pic so #washington #usa @ Washington, District of Columbia
",🇺🇸,0
"I cannot seem to get my brows right lately but I sure did slay everything else @user
",😜,2
"@ Fort Worth, Texas
",🎄,1
"Last picture of the Hearst Castle! This is one of the two pools on the property...#gold #pools…
",😜,2
"Have a Happy 4th of July Everyone! @ South Tampa, Florida
",🇺🇸,0
"Merry Christmas from me and my dysfunctional family. @ Palisades Park
",🎄,1
"Merry Christmas from us @ AMC Garden State 16
",🎄,1
"Where should I eat next? I'm off to New York at the end of the week! Dishes…
",🇺🇸,0
"@ Mortgage Banker NMLS #382794 MD, DC, VA
",🇺🇸,0
"@ Empire State Building
",🇺🇸,0
"#HappyHolidaze (@ Starbucks in Sherman Oaks, CA)
",🎄,1
"Christmas eve’s eve festivities with friends …
",🎄,1
"Historicalness @ Little Round Top Battlefield
",🇺🇸,0
"@user totally having that same problem
",😜,2
"Such an impressive building. #NewYork #OneWorldTradeCenter #America #FREEDOM @ One World…
",🇺🇸,0
"Straight Outta SoHo... #betterthanyourmothers Vlog Post 1 feat. @user and @user is…
",😜,2
"#fenwaypark #redsox #basketball #boston @ Fenway Park
",🇺🇸,0
"Hello White House from the top of the Washington Monument . #usa #washingtondc #uscapitol…
",🇺🇸,0
"It was hot but well worth the drive for our first stop on vacation @ United States Capitol
",🇺🇸,0
"At the #kitchener #zoo look at this freaky #animal in isolation @ St. Mary's General Hospital
",😜,2
"The BIG apple #newyork #gopro #usa #adaughteroftheworld #newyorkcity #ny #timessquare #viajar…
",🇺🇸,0
"Happy holidays from my friends to yours. @ Hartland, Michigan
",🎄,1
"New York @ Christmas @ Rockefeller Center
",🎄,1
"Are your lashes ready for Christmas? This beauty is all set! Natural set by our fabulous…
",🎄,1
"We cray @ Taco Bell
",😜,2
"@ Disney's Magic Kingdom
",🎄,1
"Date night @ Oishii Asian Fusion
",😜,2
"Sandhill Christmas Lunch 2017 @ Sandhill Telephone
",🎄,1
"DALE JR LETS GO @ Talladega Superspeedway
",🇺🇸,0
"Cleveland clinic ohio @ Cleveland Clinic
",🇺🇸,0
"Cute little ornament babe got yesterday for our Christmas tree #ChristmasTime @ Magical Forrest
",🎄,1
"Last night at Nanny and Pop’s. #christmas2017 #pjparty @ Falls…
",🎄,1
"Adventures in Kerning. View FROM our campsite. View OF our campsite. . Camp training…
",😜,2
"Chicago Team Hillary working the Party/Labor/Rahm event tonight …
",🇺🇸,0
"He'd get my vote @ Ellis County Elections
",🇺🇸,0
"God looked at what he had done and saw that it was good. @ Rennaissance Schaumburg, IL
",🎄,1
"Christmas Cupcakes Flavors are here available starting 12/7/17 until 1/7/18 Coquito Cupcake:…
",🎄,1
"#VeteransDay meal big thanks to @user and for the free #buglight (at @user
",🇺🇸,0
"West coast is the best coast! Good luck ladies! #Repost @user
",🇺🇸,0
"It’s Christmas time with Forever In Your Mind @ Tanger Outlets, Deer Park
",🎄,1
"I stand for my #standformyflag #golfer #golfing #golf #walker #american @ Crowfield Golf &amp;…
",🇺🇸,0
"Filming the ABC Disney Christmas Special at #magickingdom #Itsbeginningtolookalotlikechristmas…
",🎄,1
"Born in NYC with Puertorican parts . Sophisticated and educated, with the ratchet lying in…
",😜,2
"Happy Labor Day weekend! @ Atlantic Highlands Yacht Harbor
",🇺🇸,0
"We're getting ready for Christmas. #holidays #tistheseason #december #greenandred #bethankful…
",🎄,1
"It's pretty crowded here for a Saturday. #familyvacay #finallyflorida #wemadeit #livehappy @user
",😜,2
"See you in two weeks NYC @ Rockefeller Center
",🎄,1
"Happy 4th @ WestWorld of Scottsdale
",🇺🇸,0
"Let freedom ring ••• #happyfourth #freedom #ilovemycountry #4thofjuly @user
",🇺🇸,0
"Our annual family photo at Christmas Lights of the South. @ Lights Of The South
",🎄,1
"#makeamericarageagain @ AT&amp;T Center
",🇺🇸,0
"One of the best morning I ever had. #solotraveler…
",🇺🇸,0
"Freedom yo @ Manhattan, New York
",🇺🇸,0
"Twinning for the holidays! @ Stockmans
",🎄,1
"On our way to VOTE. Hope you are too! @ The United States of America
",🇺🇸,0
"It's beginning to look a lot like Christmas! #travelwitholgavalentina #spokane #washington…
",🎄,1
"#LastNight#tanks and #sweatpants to the #party #noparking #Mcqueen #shoes and #vintage #cdg…
",😜,2
"Happy Christmas! w/ lots of love from Blyss &amp; I in California #california #lastweek #yosemite…
",🎄,1
"I just dropped byto say hello to my friend Mark #facebook @user
",😜,2
"'Tis the season #furseason @ LA Live Holiday Ice
",🎄,1
"Thee ol Fab 4, 4 years later @ Wheeling, West Virginia
",😜,2
"This way, I get what I want. @ Dutchess Junction, New York
",🎄,1
"Merry Christmas from us! Headed to 2nd Phillips’ Family…
",🎄,1
"Christmas has come and gone can you believe it!? we are also in engagement season which means…
",🎄,1
"Trying to look cool at your favorite new coffee joint. #happyfriday #TGIF #Dtla #verve…
",😜,2
"Being fashionably late for the Power Hour...as always #Saturday #New York #TheBronx…
",😜,2
"@ Downtown Ft Wayne
",🎄,1
"Here again, many years after! E pluribus unum ""Out of many, one"" #washingtonmonument @user
",🇺🇸,0
"Happy 4th 7•4•17 @ Sanford RiverWalk
",🇺🇸,0
"#MerryChristmas to all @ Lafayette, Louisiana
",🎄,1
"Grateful to have the opportunity to choose. #getoutandvote …
",🇺🇸,0
"Taking in our nation's history #usa #abrahamlincoln #america #philadelphia #unionleague @user
",🇺🇸,0
"Pennsylvania’s next Lieutenant Governor on the left! #madforpa ....#pa #pennsylvania…
",🇺🇸,0
"Happy Fourth of July! @ St. Louis
",🇺🇸,0
"Presented Photo by: @user Place: Grand Teton National Park Congratulations!…
",🇺🇸,0
"Hoop Dreams and Trampolines! Join us tonight! Adult classes at 6:30 &amp; 8:00 #aerialwarehouse…
",😜,2
"Christmas shopping in the airport! Procrastination has paid off the family member of the year…
",🎄,1
"Our vikings are fighting to be where we belong, top of the table! Come and let’s fight with…
",🇺🇸,0
"Happy July 4th #independenceday #july4th #florida @ Mike's
",😜,2
"ARE YOU READY FOR CHRISTMAS ?!? . I just finished my shopping and now I’m going to start…
",🎄,1
"MERRY CHRISTMAS FROM SKID ROW @ Gladys Park - Skid Row
",🎄,1
"1st of December and 25 days of Christmas . Hope your holiday is the best. #xmas…
",🎄,1
"@user Who gave you access to their codebase?
",😜,2
"X•XV•MMXVII i know you are on a social media cleanse... so you won’t see this... idgaf . so…
",😜,2
"You Are Never Forgotton #9/11 @ One World Trade Center
",🇺🇸,0
"•4th july with my American family this is short because my camera drowned but I'm glad it…
",🇺🇸,0
"Using the rainy day to get ready for Christmas at the office. #merrychristmas…
",🎄,1
"#CandidHiker video @user #montana #hiking @ Beehive Basin
",😜,2
"Happy 4th of July! @ Devils Lake, Michigan
",🇺🇸,0
"Have a Great #Christmasday everyone! From us all @user #merrychristmas…
",🎄,1
"Merry Christmas from the Napoli’s! Enjoying family time while we are home! #FOE #CYB @ Kansas…
",🎄,1
"S'more smores. I'll be needing an intervention soon. #saranac…
",😜,2
"Grilling Cubans for dinner and maybe a late night snack #grilledsandwiches @ Austin, Texas
",😜,2
"Good morning! Happy 241st Birthday America! Thank You to all the…
",🇺🇸,0
"Christkindl Market joys #denver#holidayseason2017 @ Denver…
",🎄,1
"lowkey in heaven @ LUSH Cosmetics NYC- Upper East Side
",😜,2
"I got broads in Atlanta @ Greyhound Station Atlanta, GA
",😜,2
"#boxingday shoppin @user #fashionicity @ Bramalea City Centre
",😜,2
"... ok, let's have a good Sunday! @ Floyd Miami
",😜,2
"Successful birthday! 31 and fun! #pajamaparty #iwantabirthdayANDchristmaspresent @ Las Vegas,…
",😜,2
"Don't know how we became friends but I'm glad we did shoogatutz @user
",😜,2
"So Proud to be an American with such a classy amd mature President @user . AFRICA…
",🇺🇸,0
"Never forget. #americastrong #911 @ Jack Rhodes Memorial Stadium
",🇺🇸,0
"I am inspired by Jose &amp; America. #greatestlove #joseangelmanaizajr #theunitedstatesofamerica @user
",🇺🇸,0
"heavy rain game cancelling, proud to be american @ Lake Lanier
",🇺🇸,0
"Braden Ivey Team Member#SouthCarolina #JuniorTeamTrials @ South Carolina
",🇺🇸,0
"Fantastic! Got my #Colombian arepas! (@ International cafe in Minneapolis, MN)
",😜,2
"Happy 4th of July, #July4th2017 #July4th #IndependenceDay #RollerCoaster @ Busch Gardens…
",🇺🇸,0
"When life {clairemack2196} hands you a free ticket to RWB you just roll with it @ Lexington,…
",🇺🇸,0
"Frosted hand holding with the creator/owner of the #NationalChristmasCenter in Pennsylvania @user
",🎄,1
"Spooky season is over!! It’s time to get holly and jolly @user
",🎄,1
"White House #whitehouse #washingtondc #iloveeua #byivete @user
",🇺🇸,0
"USA @ Batch Gastropub
",🇺🇸,0
"Scary Halloween goop, or cool custom-colored ink???? #HappyHalloween followers!!!! Have a fun…
",😜,2
"Crap I wanted to be home by midnight (@ Fat Buddha in New York, NY)
",😜,2
"Turkishman in New York. #amerika #america #amérique…
",🇺🇸,0
"Waiting for #hillary. #dealusin #imwithher @ Fort Hayes Metropolitan Education Center
",🇺🇸,0
"We're famous #poolafterdark #havanabrown #harrahsresort @ Atlantic…
",😜,2
"Brought to your courtesy of the Red, White, and Blue @ Klipsch…
",🇺🇸,0
"#neverforget @ New York, New York
",🇺🇸,0
":) @ Chardon Memorial Field
",🇺🇸,0
"Kids got their #christmas rendezvous with the #firetruck I love this tradition thank you…
",🎄,1
"Basic Campbell Christmas tree lighting picture with my favorite @user
",🎄,1
"I may have already taken a bite before posting. Blame the pregnant woman for needing the sugar …
",😜,2
"@user @user haha. Whatever. I'll talk however I want to, I'm British. It's my language whatever
",😜,2
"Brooklyn bridge #love #TFLers #tweegram #photooftheday #20likes #amazing #tbt #follow4follow…
",🇺🇸,0
"|| DOWNTOWN WINDOW DECORATING CONTEST || The HollyDazzle Window Decorating contest is a fun…
",🎄,1
"#hhn27 @ Halloween Horror Nights - Universal Orlando
",😜,2
"Off to hunt for the Agen family Christmas tree #agenadventures @user @ Culpeper County,…
",🎄,1
"Sweet Savage @ West Bronx, Bronx, New York
",😜,2
"Peyton's First vote! #18 #birthright #USA @ Springfield…
",🇺🇸,0
"Rockin' around the Christmas tree for our 6 months @ St Johns Town…
",🎄,1
"We are open today for Veteran’s Day! We thank all of the veterans for their service. …
",🇺🇸,0
"Enjoying a beautiful view of the #prescottlightparade from @user #christmastime…
",🎄,1
"@ Edgewood, New Mexico
",🇺🇸,0
"Be sure to drink your Ovaltine @ A Christmas Story House
",🎄,1
"Future roomates of @ Girasole
",🇺🇸,0
"“Never was so much owed by so many few” -WC Happy Veterans Day @user
",🇺🇸,0
"Sunset in Portland, Maine! #LoveFamilyTravel @ Bug Light Park
",😜,2
"Cali Christmas @user have a great one #hermosabeach @ Hermosa Beach, California
",🎄,1
"Happy 4th of July!! @ Brown Bottling Group
",🇺🇸,0
"Dressing up for the holidays! #accessories #wraps #hats #belts #dressingupisfun !!!…
",🎄,1
"Turistando!#carnegiehall #ny #turistandonyc2016 @ Carnegie Hall
",🇺🇸,0
"Tis the season or wuteva @ Valley Stream, New York
",🎄,1
"We, are too excited about Nadirah tough_techie finally settled…
",😜,2
"White Christmas so glad to be home. // #christmas #holiday #whitechristmas #snow #family #love…
",🎄,1
"Thanks for all of the birthday wishes and Merry Christmas from your favorite little reindeer! @user
",🎄,1
"holiday fun w/ Jules @ Union Square, San Francisco
",🎄,1
"At my parents house for Christmas! picture @user @ Moultonborough, New Hampshire
",🎄,1
"Spontaneous trips create the best memories @ Fort Wayne, Indiana
",😜,2
"I pluckin' love wings @ Pluckers Wing Bar
",😜,2
"I'm your type I know that this is what u like. #24hours @ Whitehall, Ohio
",😜,2
"With #partnerincrime By @user #fashion #fashionista #fashionable #fashionblogger…
",😜,2
"It's a holiday @ Naval Station Great Lakes July 4th Celebration
",🇺🇸,0
"#SANTA .. we know him!! @user @user #Aurora #BOLDholidays #rodeodrive @ Beveryhills…
",🎄,1
"To all of our country's veterans.. THANK YOU! We appreciate you and all that you do! @ Two…
",🇺🇸,0
"It's the most wonderful timeee of the yeaaar @ Pelham Parkway
",🎄,1
"Nice work dinner @ Gaylord Opryland Resort &amp; Convention Center
",😜,2
"Throwback Thursday! I may be tiny but those are 45's @ Anytime Fitness Irwin
",😜,2
"Ugly Christmas Sweaters ain't just for humans #NukaBoy #Kota #Thunder #Wolfpack #SiberianHusky…
",🎄,1
"I may like New Hampshire but I love you @ New Hampshire
",😜,2
"@ Allston–Brighton
",🇺🇸,0
"House cleaning with a Toddler... WARNING: Must have sense of humor! I just spent 2 hours (twice as…
",😜,2
"After work Enyoing this beauty .. happy Independence Day !! @ The Royce Wood-Fired Steakhouse
",🇺🇸,0
"@user and I needed a big plane for all the wine we are bringing back #privatejet #StrataJet…
",😜,2
"Order 66 @ Carl's Jr. / Green Burrito
",😜,2
"Successful Christmas Tree hunting day @ Willow River, Minnesota
",🎄,1
"This is relevant to my life right now #truth #Starbucks #CoffeeAddict #MorningMusings...
",😜,2
"And done! #imwithher #ivoted #harveymilklgbtdemocraticclub #wbur @ City of Melrose
",🇺🇸,0
"Back to NYC for meetings and stopping to admire the view ....#christmas #holiday #tree…
",🎄,1
"Halloween 2017, New Jersey en Barcode New Jersey
",🇺🇸,0
"GOD BLESS OUR MILITARY, BUT GO OWLS!!! #USA @ Navy–Marine…
",🇺🇸,0
"If you wanna find life then you know where the city is @ New York - Lower East Side
",🇺🇸,0
"Proud To Be @ Lynchburg College
",🇺🇸,0
"@ Washington Monument
",🇺🇸,0
"Tis the season #philly @ Philadelphia City Hall
",🎄,1
"Merry Christmas @ Easton Town Center
",🎄,1
"Shout out to my Lolo, Merry Christmas # @ Royal Congee Chinese Cuisine
",🎄,1
"Stunning performance by the #westernaires at the #rodeo #merica @ Granby, Colorado
",🇺🇸,0
"I'm soooo with her! Like, I'm literally with her in Broward #dem #democrats #cheflife…
",😜,2
"Cute Happy 4th caption!! @ Bradenton Riverwalk
",🇺🇸,0
"Christmas fun with some of my work family. @ Moe's Original BBQ…
",🎄,1
"There is only one thing greater than freedom and that's our God…
",🇺🇸,0
"#happy4thofjuly @ United States USA - Americana's
",🇺🇸,0
"Never a dull moment with this interesting, fun, clever crowd! We’re in the Holiday mood Who’s…
",🎄,1
"You rock my Christmas socks @ Longwood Gardens
",🎄,1
"#ivoted in faux fur &amp; yes I’m smug about it @ Crown Heights, New York
",🇺🇸,0
"#OldGlory looking amazing above #CitiField in the September sunlight of a lovely #LaborDay.…
",🇺🇸,0
"Doing my homework for tomorrow's very important ""test!"" It's going to be an all-nighter! …
",🇺🇸,0
"Merry Christmas to all from my lil family.
",🎄,1
"@ Kennywood Amusement Park
",🎄,1
"Merry Revsmas from me and Stephanannie @ Bowling Green, Ohio
",🎄,1
"has anyone started christmas shoppin yet?! please tell my I’m not the only one - cause i am…
",🎄,1
"L a n d • Of • The • F R E E @ Clam Pass Beach, Naples, Fl
",🇺🇸,0
"I can do box jumps with my eyes closed #CFBTS @ CrossFit By The Sea
",😜,2
"Barely got any sleep this weekend, but it was worth it #dnowstory @ Riverfront Banquet Center
",😜,2
"Well ... It’s gonna be a big weekend for my photography and Christmas mini sessions too! Don’t…
",🎄,1
"I'm with her... for Christmas #gaggifts @ Farmingville, New York
",🎄,1
"Room with a view #norainhere #pressrooftoplounge #c#scenicview…
",😜,2
"Twinzies!!!! Her feet are ""just a smidgen"" bigger than mine LOL but we both have a great sense…
",😜,2
"United States Army rings. #followme #usa #army #rings @ Los Angeles, California
",🇺🇸,0
"Ok frfr GOODNITE #insomniac @ Houston, Texas
",😜,2
"As a young gun I always wanted to get into the “Development” game. Thankfully Gods grace kept…
",😜,2
"The Christmas weekend went too fast! #dogsareagirlsbestfriend #christmas #miniaturepinscher…
",🎄,1
"Toys for Trucks Official @ Toys for Trucks official
",🇺🇸,0
"Top deck 102 of Empire State Building @ Empire State Building -…
",🇺🇸,0
"They witnessed. They volunteered. They sacrificed. They responded. @user @ 9/11…
",🇺🇸,0
"In lieu of the gymnastics clinic happening 20' behind me Better everyday #nomissestoday…
",😜,2
"Had a blast in Chi town @ Navy Pier
",😜,2
"It's getting darker...scary...btw round 3 #captainamerica #captainamericacivilwar @ AMC…
",😜,2
"How the heck did I end up here...?! I must have taken a wrong turn. Oh well (@ Stanford Shopping Center)
",😜,2
"She's a beaut, Clark #myfirstchristmastree @ Village of Lancaster
",🎄,1
"It's Christmas time! #christmastree #christmas2016 # @ Clarksburg Premium Outlets
",🎄,1
"Congratulations Amulette! A repeat offender Recipient of…
",😜,2
"Lunch-time-Walk Periscope Broadcast: est. 1:40/1:45pm ET/USA View of The Freedom Tower, walking along Broadway, then Wall Street
",🇺🇸,0
"To All Merry Christmas &amp; best blessings for the upcoming 2017 Happy New Year- In Jesus Name -…
",🇺🇸,0
"Flashback | Victoria and Cruz leaving Extreme Martial Arts in Los Angeles (February 20, 2010) …
",🇺🇸,0
"Baby's 1st Christmas #sdholidaywonderland @ Petco Park
",🎄,1
